name,universeId,placeId,link,genre,allowedGearGenres,isGenreEnforced,isAllGenre,playing,visits,favoritedCount,gameRating,upvotes,downvotes,thumbUrl
Norjan Town,2640904195,6912050404,web.roblox.com/games/6912050404,Town and City,TownAndCity,True,False,0,1325,65,96.552,28,1,https://t0.rbxcdn.com/e273bed92e204a1486c678482aba09ac
Super Show Event Place,2188869637,6044399241,web.roblox.com/games/6044399241,Sports,Sports,True,False,0,626,4,,0,0,https://t4.rbxcdn.com/3f73af996b69eafb3df5770a07050f43
Primordial Lands,1439793158,4500774956,web.roblox.com/games/4500774956,Adventure,Adventure,True,False,20,5539659,48769,81.307,15237,3503,https://t0.rbxcdn.com/e0a72a2b44894af92b843c2393d1c7b0
READ DESC,2627239943,6886153558,web.roblox.com/games/6886153558,Comedy,Funny,True,False,0,1497805,7572,67.744,1802,858,https://t3.rbxcdn.com/0a5558530619df7fabc1f16bc2e190b7
My Jojo Game - Sandbox,2455240714,6543027244,web.roblox.com/games/6543027244,All,All,True,True,125,2517804,16609,72.486,4908,1863,https://t0.rbxcdn.com/a4b9becbe5e231b184458f089bb0376a
Testing Piece,2361294870,6368046206,web.roblox.com/games/6368046206,All,All,True,True,0,2764,11,85.714,12,2,https://t1.rbxcdn.com/134c697b6d0f57a617ce2b53b92d04be
PTA Subway: Fifth Av Lines [1.2],2703818775,7027922660,web.roblox.com/games/7027922660,All,All,True,True,58,866280,5918,88.632,2105,270,https://t3.rbxcdn.com/8f4084771783ee94c252536670f04dba
Ro-Boxing Simulator🥊,1343848473,4008685234,web.roblox.com/games/4008685234,All,All,True,True,13,1285869,6656,68.177,1941,906,https://t5.rbxcdn.com/21d7f95bdfd084cbffb6d302ed8a8220
Train Vs Car Simulator (BETA),2123333659,5920331540,web.roblox.com/games/5920331540,All,All,True,True,4,210751,1055,63.109,272,159,https://t5.rbxcdn.com/3192fb6f31ef2730fd3c8af73d5155f7
Hospital Ruins,1728151580,5010570684,web.roblox.com/games/5010570684,Adventure,Adventure,True,False,0,814,19,87.5,7,1,https://t5.rbxcdn.com/b9ecc5ef3acb0b0a31d6606741370a0e
Random First Person Shooter Game,2331508763,6313474264,web.roblox.com/games/6313474264,Fighting,Ninja,True,False,3,52239,1128,82.097,509,111,https://t5.rbxcdn.com/e30cb1a83dbe93f6c833fdabc2d5837a
🌊Mermaid Roleplay🌊,1826095138,5222108886,web.roblox.com/games/5222108886,RPG,RPG,True,False,129,3460036,8397,36.683,847,1462,https://t5.rbxcdn.com/ca17e0c691759a9daf46dfff480941db
Boss Fighting Test (FIXED!),401801251,965167631,web.roblox.com/games/965167631,Fighting,Ninja,True,False,0,599635,10078,84.134,2084,393,https://t2.rbxcdn.com/44629402d721b3066a9ef44f6cfbc8b2
🎈Rare Name Hangout [vibe],2053701670,5788167083,web.roblox.com/games/5788167083,All,All,True,True,4,875655,10090,76.015,2716,857,https://tr.rbxcdn.com/aff06535be79ae7e43e4ff155bb867b8/150/150/Image/Png
👻 Emergency Response: Liberty County,903807016,2534724415,web.roblox.com/games/2534724415,Town and City,TownAndCity,True,False,6488,237717885,1397356,92.117,457326,39137,https://t0.rbxcdn.com/31f0e9ce9976face55504f86f93c5013
Squid Game,2934375089,7549229959,web.roblox.com/games/7549229959,Horror,Scary,True,False,38805,272477267,966338,87.466,460705,66017,https://t1.rbxcdn.com/c6f9f095e2ce9eb2b36ddce27b33c699
KAT Modded [SALE],2291565234,6238411952,web.roblox.com/games/6238411952,All,All,True,True,34,1701793,13450,61.514,3462,2166,https://t4.rbxcdn.com/6860df1bb0e197002fca44c319b5e4ac
Escape Pop it Fidget Toy Obby Parkour[EASY] Popit,403309245,968817711,web.roblox.com/games/968817711,Adventure,Adventure,True,False,80,1351294,2800,59.231,462,318,https://t4.rbxcdn.com/8de54f5d726d6bde84ad578026deed18
[CART RIDE] Marble Mania!,1699709637,4950724851,web.roblox.com/games/4950724851,Adventure,Adventure,True,False,550,47087853,424297,91.468,125105,11669,https://t0.rbxcdn.com/760ad878d4d9f834b11ee77ef7a46e00
[ Content Deleted ],2784919595,7173322237,web.roblox.com/games/7173322237,All,All,True,True,0,2871,12,69.231,18,8,https://t3.rbxcdn.com/2da69e9b9d2ea78b0145eb3061bba22f
