cursor,firstName,lastName,department,avgDifficulty,avgRating,numRatings,legacyId,link
YXJyYXljb25uZWN0aW9uOjA=,David,Cairns,Geography,4.4,3.3,6,968,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=968
YXJyYXljb25uZWN0aW9uOjE=,Greg,Klein,Mathematics,2.9,3.5,73,1019,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1019
YXJyYXljb25uZWN0aW9uOjI=,Terrence,Barnhardt,Psychology,3.4,3.2,47,15446,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=15446
YXJyYXljb25uZWN0aW9uOjM=,Larry,Oliver,English,4.2,2.9,7,15747,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=15747
YXJyYXljb25uZWN0aW9uOjQ=,Roger,Gold,Not Specified,4.4,4,6,49289,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=49289
YXJyYXljb25uZWN0aW9uOjU=,.,Schuessler,Science,1.9,2.5,4,63380,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=63380
YXJyYXljb25uZWN0aW9uOjY=,Natarajan,Sivakumar,Mathematics,4.4,4.2,70,84267,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84267
YXJyYXljb25uZWN0aW9uOjc=,Carol,Johnson,Science,3.8,3.5,36,84713,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84713
YXJyYXljb25uZWN0aW9uOjg=,T,McKnight,Science,1.9,4.3,16,85428,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=85428
YXJyYXljb25uZWN0aW9uOjk=,Art,Belmonte,Mathematics,2.2,3.5,68,89513,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=89513
YXJyYXljb25uZWN0aW9uOjEw,Mila,Mogilevsky,Mathematics,4.1,1.7,6,121016,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=121016
YXJyYXljb25uZWN0aW9uOjEx,Hugh,Wilson,Science,0,0,0,132574,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=132574
YXJyYXljb25uZWN0aW9uOjEy,Chuck,Taylor,English,3.5,1.6,5,132979,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=132979
YXJyYXljb25uZWN0aW9uOjEz,Carol,Albrecht,Sociology,4.1,3.9,10,133046,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133046
YXJyYXljb25uZWN0aW9uOjE0,James,Bradford,History,3.4,3.4,13,147757,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=147757
YXJyYXljb25uZWN0aW9uOjE1,Lisa,Cox,Mathematics,4.3,2.6,12,148777,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148777
YXJyYXljb25uZWN0aW9uOjE2,D,Baum,History,2.5,3.9,18,148793,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148793
YXJyYXljb25uZWN0aW9uOjE3,Goong,Chen,Mathematics,4.5,2.7,4,153455,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=153455
YXJyYXljb25uZWN0aW9uOjE4,Michael,Waters,Anthropology,2.9,3.5,12,153565,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=153565
YXJyYXljb25uZWN0aW9uOjE5,Tammy,Tiner,Chemistry,3.9,2.9,7,155006,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=155006
YXJyYXljb25uZWN0aW9uOjIw,Takis,Zourntos,Engineering,4.6,2.5,4,167266,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=167266
YXJyYXljb25uZWN0aW9uOjIx,Douglas,Brooks,English,4.8,2.3,10,200255,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=200255
YXJyYXljb25uZWN0aW9uOjIy,Donald,Dickson,English,3.5,3.2,26,203659,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=203659
YXJyYXljb25uZWN0aW9uOjIz,Kimberly,Retert,Mathematics,0,0,0,204580,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=204580
YXJyYXljb25uZWN0aW9uOjI0,Janet,McCann,English,4.7,4.2,5,211305,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=211305
YXJyYXljb25uZWN0aW9uOjI1,Carlos,Blanton,History,3.8,3,28,211781,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=211781
YXJyYXljb25uZWN0aW9uOjI2,Craig,Coates,Science,3.6,2.5,56,227168,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=227168
YXJyYXljb25uZWN0aW9uOjI3,Ganesa,Gopalakrishnan,Chemistry,4.1,2.8,54,228255,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=228255
YXJyYXljb25uZWN0aW9uOjI4,Wendy,Keeney-Kennicutt,Chemistry,4.6,2.5,37,234109,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=234109
YXJyYXljb25uZWN0aW9uOjI5,Walter,Buenger,History,3.4,3.3,30,245139,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=245139
YXJyYXljb25uZWN0aW9uOjMw,Larry,Reynolds,English,4.6,2.8,10,273002,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=273002
YXJyYXljb25uZWN0aW9uOjMx,Peter,McIntyre,Physics,1.6,4.8,14,281843,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=281843
YXJyYXljb25uZWN0aW9uOjMy,Nirashima,Reddy,Engineering,3.8,2.7,3,307358,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=307358
YXJyYXljb25uZWN0aW9uOjMz,Jennifer,Lewis,Mathematics,2.1,3.8,142,311801,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=311801
YXJyYXljb25uZWN0aW9uOjM0,Larry,Yarak,History,3.6,3.2,12,316261,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=316261
YXJyYXljb25uZWN0aW9uOjM1,Bjarne,Stroustrup,Computer Science,3.2,3.8,4,322761,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=322761
YXJyYXljb25uZWN0aW9uOjM2,Ralph,Schoolcraft,Languages,4.4,2.5,10,326295,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=326295
YXJyYXljb25uZWN0aW9uOjM3,James,Petrick,Hospitality,3.4,3.8,13,326297,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=326297
YXJyYXljb25uZWN0aW9uOjM4,Jodi,Sterle,Agriculture,4.4,2.8,4,338932,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=338932
YXJyYXljb25uZWN0aW9uOjM5,Warren,Heffington,Engineering,1.9,3.8,4,357277,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=357277
YXJyYXljb25uZWN0aW9uOjQw,Dara,Childs,Engineering,1.8,4.3,3,357278,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=357278
YXJyYXljb25uZWN0aW9uOjQx,Tahir,Schobeiri,Engineering,1.4,5,5,357279,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=357279
YXJyYXljb25uZWN0aW9uOjQy,Jennifer,Sandlin,Education,4.1,3.8,4,357983,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=357983
YXJyYXljb25uZWN0aW9uOjQz,,Tao,Engineering,0,0,0,359633,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=359633
YXJyYXljb25uZWN0aW9uOjQ0,Dean,Wichern,Information Science,0,0,0,360920,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=360920
YXJyYXljb25uZWN0aW9uOjQ1,Frank,Hons,Agriculture,5,3,4,385278,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=385278
