name,universeId,placeId,link,genre,allowedGearGenres,isGenreEnforced,isAllGenre,playing,visits,favoritedCount,gameRating
Norjan Town,2640904195,6912050404,web.roblox.com/games/6912050404,Town and City,TownAndCity,True,False,0,1325,65,
Super Show Event Place,2188869637,6044399241,web.roblox.com/games/6044399241,Sports,Sports,True,False,0,626,4,
Primordial Lands,1439793158,4500774956,web.roblox.com/games/4500774956,Adventure,Adventure,True,False,20,5539659,48769,
READ DESC,2627239943,6886153558,web.roblox.com/games/6886153558,Comedy,Funny,True,False,0,1497805,7572,
My Jojo Game - Sandbox,2455240714,6543027244,web.roblox.com/games/6543027244,All,All,True,True,125,2517804,16609,
Testing Piece,2361294870,6368046206,web.roblox.com/games/6368046206,All,All,True,True,0,2764,11,
PTA Subway: Fifth Av Lines [1.2],2703818775,7027922660,web.roblox.com/games/7027922660,All,All,True,True,58,866280,5918,
Ro-Boxing Simulator🥊,1343848473,4008685234,web.roblox.com/games/4008685234,All,All,True,True,13,1285869,6656,
Train Vs Car Simulator (BETA),2123333659,5920331540,web.roblox.com/games/5920331540,All,All,True,True,4,210751,1055,
Hospital Ruins,1728151580,5010570684,web.roblox.com/games/5010570684,Adventure,Adventure,True,False,0,814,19,
Random First Person Shooter Game,2331508763,6313474264,web.roblox.com/games/6313474264,Fighting,Ninja,True,False,3,52239,1128,
🌊Mermaid Roleplay🌊,1826095138,5222108886,web.roblox.com/games/5222108886,RPG,RPG,True,False,129,3460036,8397,
Boss Fighting Test (FIXED!),401801251,965167631,web.roblox.com/games/965167631,Fighting,Ninja,True,False,0,599635,10078,
🎈Rare Name Hangout [vibe],2053701670,5788167083,web.roblox.com/games/5788167083,All,All,True,True,4,875655,10090,
👻 Emergency Response: Liberty County,903807016,2534724415,web.roblox.com/games/2534724415,Town and City,TownAndCity,True,False,6488,237717885,1397356,
Squid Game,2934375089,7549229959,web.roblox.com/games/7549229959,Horror,Scary,True,False,38805,272477267,966338,
KAT Modded [SALE],2291565234,6238411952,web.roblox.com/games/6238411952,All,All,True,True,34,1701793,13450,
Escape Pop it Fidget Toy Obby Parkour[EASY] Popit,403309245,968817711,web.roblox.com/games/968817711,Adventure,Adventure,True,False,80,1351294,2800,
[CART RIDE] Marble Mania!,1699709637,4950724851,web.roblox.com/games/4950724851,Adventure,Adventure,True,False,550,47087853,424297,
[ Content Deleted ],2784919595,7173322237,web.roblox.com/games/7173322237,All,All,True,True,0,2871,12,
Iksan Prison : Role play,2604335148,6844246476,web.roblox.com/games/6844246476,All,All,True,True,0,27445,198,
Hostile Skies,686030892,1886551928,web.roblox.com/games/1886551928,All,All,True,True,19,6710947,98912,
Forward Operating Base,1819508782,5207620650,web.roblox.com/games/5207620650,Military,War,True,False,2,52685,647,
slapping simulator,1998716972,5670017792,web.roblox.com/games/5670017792,All,All,True,True,36,3940218,35750,
Survive Friday Night Funkin FNF,2677277381,6978943560,web.roblox.com/games/6978943560,All,All,True,True,200,3569875,8439,
[Evo Supreme] Mechanic's Haven Plus,1498677963,4596171433,web.roblox.com/games/4596171433,All,All,True,True,18,2344002,11547,
[Desc] Percy Jackson Demigod Camp,2618688204,6870550319,web.roblox.com/games/6870550319,All,All,True,True,11,103713,786,
Can you survive Pepa pig /Piggy,2555609139,6749189663,web.roblox.com/games/6749189663,Horror,Scary,True,False,0,29734,40,
MEGA UPDATE!!!   Destroy New York City,659292218,1789231930,web.roblox.com/games/1789231930,All,All,True,True,13,3214177,17952,
(150x cash) Button Simulator Summer,2904555590,7456720396,web.roblox.com/games/7456720396,All,All,True,True,3,17507,146,
인사이드 아웃 타워,2348220492,6344266451,web.roblox.com/games/6344266451,All,All,True,True,3,3221854,5677,
🔥Survival The Piggy Killers❄️,2243986126,6147116302,web.roblox.com/games/6147116302,Adventure,Adventure,True,False,48,2606523,4823,
Two Player Obby (HALLOWEEN UPDATE),1671887,25525428,web.roblox.com/games/25525428,Sports,Sports,True,False,212,61389942,209790,
Escape the Maze!,2455830610,6543999107,web.roblox.com/games/6543999107,Adventure,Adventure,True,False,15,431512,1040,
The Infinite Difficulty Chart: Revamp,2872410835,7366519562,web.roblox.com/games/7366519562,All,All,True,True,0,873,14,
the western engine meets the polar express 😋,592347219,1560446583,web.roblox.com/games/1560446583,All,All,True,True,0,69366,205,
[STAGES] Scripter's WallHop Difficulty Chart 2,2202042456,6070509161,web.roblox.com/games/6070509161,All,All,True,True,0,279196,816,
Zhoros II,2852455124,7308268944,web.roblox.com/games/7308268944,Fighting,Ninja,True,False,0,807,0,
Dino Ranchers,1034846943,2859435137,web.roblox.com/games/2859435137,All,All,True,True,0,970365,15414,
altoids,1186431064,3295953466,web.roblox.com/games/3295953466,All,All,True,True,0,1262,63,
Prison Life Testing(Cars Added),2278850651,6212516516,web.roblox.com/games/6212516516,All,All,True,True,19,721097,3611,
decaying winter but horrible quality,2959212637,7616795925,web.roblox.com/games/7616795925,All,All,True,True,0,242,8,
[🔥CODES!🔥] Demon Slayer RPG,1579352805,4734949248,web.roblox.com/games/4734949248,All,All,True,True,1928,81222400,615635,
Escape the Bakery Obby!,1182073574,3278990921,web.roblox.com/games/3278990921,All,All,True,True,5,8161350,12430,
Melee Mash v2,1365934824,4151027365,web.roblox.com/games/4151027365,Fighting,Ninja,True,False,9,1242914,15184,
Patchy's Playhouse 🎈 [STORY],2275345134,6206042059,web.roblox.com/games/6206042059,All,All,True,True,79,11590384,38390,
Bake with Strawberry Shortcake,2885910629,7404803157,web.roblox.com/games/7404803157,All,All,True,True,1,127502,1219,
Ariel's Obby,92930150,1498600419,web.roblox.com/games/1498600419,All,All,True,True,0,2439,9,
원이 부대,2915468025,7488464250,web.roblox.com/games/7488464250,All,All,True,True,4,119618,193,
FNaF : Support Requested,1244594941,3513296164,web.roblox.com/games/3513296164,Horror,Scary,True,False,160,54889046,547449,
Survival The Baldi The Killer,1869349629,5337500767,web.roblox.com/games/5337500767,All,All,True,True,85,22990560,29805,
(CHAPTER 2!)UNDERTALE MULTIVERSE DESTRUCTION,1499824894,4597941024,web.roblox.com/games/4597941024,All,All,True,True,7,1308115,17662,
'OhSquad' (HangOut) Halloween (Abandoned game),2944991348,7580631500,web.roblox.com/games/7580631500,All,All,True,True,0,203,9,
Buses/Trams/Trains- Bathwick & Somerset,1048838263,2900208959,web.roblox.com/games/2900208959,Town and City,TownAndCity,True,False,26,2862433,17837,
Sonic.EXE The New Nightmares Rp,2732884090,7080152800,web.roblox.com/games/7080152800,Horror,Scary,True,False,52,451058,2173,
[HALLOWEEN] Disneyland Wales Theme Park,385319035,925185857,web.roblox.com/games/925185857,All,All,False,True,15,3214211,28481,
My Little Pony Tycoon 2 Player,1353286400,4069476463,web.roblox.com/games/4069476463,Fighting,Ninja,True,False,23,2843843,7370,
Minecraft online [halloween],2723218177,7063829084,web.roblox.com/games/7063829084,All,All,True,True,4,46950,156,
💥GUNS Demolition [BETA],2032829190,5733955787,web.roblox.com/games/5733955787,Adventure,Adventure,True,False,48,16522221,113996,
War Universalis 2,324173951,739370441,web.roblox.com/games/739370441,Military,War,True,False,0,1179897,8896,
Hopping Space [Remade],841416843,2399769288,web.roblox.com/games/2399769288,Sci-Fi,SciFi,True,False,3,543083,1419,
Metaverse Champions Leaks,1388576912,4272687056,web.roblox.com/games/4272687056,All,All,False,True,0,167000,3934,
Chernobyl Nuclear Power Plant [EXPLOSIVE],1199538330,3342928878,web.roblox.com/games/3342928878,All,All,True,True,0,17137,98,
[REMASTERED!] Pet Simulator X!,2375712924,6394891808,web.roblox.com/games/6394891808,All,All,True,True,12,2508959,16493,
[🎮] WIN THE BIG RACE!! Adventure Obby,357663495,861915059,web.roblox.com/games/861915059,Adventure,Adventure,True,False,94,20447186,151968,
One Piece: Burning Hearts,98665226,227493334,web.roblox.com/games/227493334,Fighting,Ninja,True,False,14,4870344,17011,
"Alberta, Canada",2906292380,7461525582,web.roblox.com/games/7461525582,All,All,True,True,0,183,4,
Volvo Drift,1751089311,5061145187,web.roblox.com/games/5061145187,Town and City,TownAndCity,True,False,37,4957871,33477,
인생 마크2 [베타],2866675875,7349621401,web.roblox.com/games/7349621401,Adventure,Adventure,True,False,0,2232,41,
The Flash Game♥ (Mega Update),612106410,1575427380,web.roblox.com/games/1575427380,All,All,True,True,0,143345,623,
Farming Adventures! (VIP SALE!) (OPEN BETA),2460157564,6551809638,web.roblox.com/games/6551809638,Adventure,Adventure,True,False,1,28745,1212,
Anime Legends Simulator,2478114430,6584943229,web.roblox.com/games/6584943229,RPG,RPG,True,False,8,1307078,23099,
(TRY ON) ellfes hair combos✧･ﾟ,1849624193,5281416335,web.roblox.com/games/5281416335,All,All,True,True,0,111752,3997,
THE WORLD..! Stop Time!,1393066767,4298852437,web.roblox.com/games/4298852437,Western,WildWest,True,False,0,27822,325,
THE IMPOSSIBLE OBBY,1340343056,3993081667,web.roblox.com/games/3993081667,All,All,True,True,202,43336221,218883,
(NEW UPDATE) Thor Simulator!,1288864538,3714929060,web.roblox.com/games/3714929060,Fighting,Ninja,True,False,0,201501,861,
[10x Event] A Bootleg's Day Modded,2400224029,6440612901,web.roblox.com/games/6440612901,All,All,True,True,0,8123,91,
진해 훈련소,2853241003,7310521670,web.roblox.com/games/7310521670,All,All,True,True,0,902,4,
East Brickton Gun Testing,2600370350,6836599955,web.roblox.com/games/6836599955,All,All,True,True,0,7209,72,
KAT Aim Practice,1653178542,4860652302,web.roblox.com/games/4860652302,All,All,True,True,0,11571,341,
GARENA FRE FIRE MAX,2854453428,7313915417,web.roblox.com/games/7313915417,Fighting,Ninja,True,False,16,72312,149,
[CREWS] [ALPHA] Square Piece,1794900153,5154141806,web.roblox.com/games/5154141806,All,All,True,True,9,13140521,58079,
